Summary,Precip Type,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),month,year,day,hour
Overcast,1,0.984618116,-2.428062253,1.792950656,-0.186595547,1.496497055,-1.155955286,-0.612588999,-1.537910222,-0.650990109,1.155869004
Overcast,1,0.963247637,-2.340649808,1.199933771,-0.10504027,1.325510366,-1.151433492,-0.612588999,-1.537910222,-0.650990109,1.283997347
Overcast,1,0.901273247,-2.253237364,1.300583426,-0.177533849,1.496497055,-1.211347263,-0.612588999,-1.537910222,-0.650990109,1.412125691
Overcast,1,0.838586508,-1.991000029,0.838139066,-0.177533849,1.496497055,-1.222651748,-0.612588999,-1.537910222,-0.650990109,1.540254034
Overcast,1,0.242350135,0.106898644,2.135703535,-1.337431125,-0.298863177,-1.466828626,-0.612588999,-1.537910222,-0.536760224,-1.406697864
Overcast,1,0.57786666,-0.242751135,0.32673001,-0.250027429,1.496497055,-1.250912961,-0.612588999,-1.537910222,-0.536760224,-1.278569521
Overcast,1,0.569318469,0.281723534,0.304967922,0.0037001,0.331254435,-1.282565519,-0.612588999,-1.537910222,-0.536760224,-1.150441177
Overcast,1,0.506631729,0.806198202,0.168954875,-0.168472152,-0.298863177,-1.298391799,-0.612588999,-1.537910222,-0.536760224,-1.022312834
Overcast,1,0.876341021,0.369135979,1.953446052,1.281399442,-0.118377228,-1.582134374,-0.612588999,-1.537910222,-0.536760224,0.515227287
Foggy,1,0.534413352,0.0194862,2.195549276,1.190782468,-1.093634637,-1.522220603,-0.612588999,-1.537910222,-0.536760224,0.64335563
Foggy,1,0.263720615,1.155847981,2.889215815,1.444509997,-1.093634637,-1.47926356,-0.612588999,-1.537910222,-0.536760224,0.771483974
Overcast,1,0.284378745,0.631373313,2.334282584,1.453571694,-0.865652386,-1.495089839,-0.612588999,-1.537910222,-0.536760224,0.899612317
Overcast,1,0.186786889,0.893610647,2.706958332,1.362954719,-0.732662739,-1.482654905,-0.612588999,-1.537910222,-0.536760224,1.02774066
Overcast,1,0.131223643,0.893610647,1.670538914,1.444509997,-0.498347647,-1.472480869,-0.612588999,-1.537910222,-0.536760224,1.283997347
Foggy,1,0.186786889,0.893610647,1.866397702,1.462633391,-1.004974873,-1.500742082,-0.612588999,-1.537910222,-0.536760224,1.412125691
Overcast,1,0.115551958,0.631373313,0.930627938,-1.545850166,-0.412854303,-1.557264507,-0.612588999,-1.537910222,-0.422530339,-1.278569521
Overcast,1,-0.015520315,0.631373313,2.64167207,-1.627405443,-0.412854303,-1.627352315,-0.612588999,-1.537910222,-0.422530339,-1.150441177
Overcast,1,-0.007684472,0.631373313,1.763027786,1.544188669,-0.403355042,-1.607004241,-0.612588999,-1.537910222,-0.422530339,-1.022312834
Overcast,1,0.059276363,0.0194862,2.894656337,1.444509997,0.600400149,-1.570829889,-0.612588999,-1.537910222,-0.422530339,-0.381671117
Overcast,1,0.432547401,-0.854638248,2.693357028,1.190782468,0.600400149,-1.591177962,-0.612588999,-1.537910222,-0.422530339,0.387098943
Overcast,1,0.550797387,-1.728762695,2.029613358,1.190782468,0.347086536,-1.557264507,-0.612588999,-1.537910222,-0.422530339,0.515227287
Overcast,1,0.500932935,-1.379112916,1.42843569,1.18172077,1.316011105,-1.591177962,-0.612588999,-1.537910222,-0.422530339,0.64335563
Overcast,1,0.423999209,-1.379112916,0.979592635,1.344831324,0.347086536,-1.54709047,-0.612588999,-1.537910222,-0.422530339,0.771483974
Overcast,1,0.263008265,-1.291700471,0.50082671,-1.446171494,0.347086536,-1.377523194,-0.612588999,-1.537910222,-0.422530339,1.02774066
Overcast,1,0.142621232,-1.204288027,0.06830522,-1.527726771,1.335009626,-1.301783144,-0.612588999,-1.537910222,-0.422530339,1.283997347
Overcast,1,0.064262808,-0.942050693,-0.385978357,1.172659073,1.505996315,-1.210216815,-0.612588999,-1.537910222,-0.422530339,1.540254034
Overcast,1,0.058564014,-0.854638248,0.857180893,0.846437964,1.496497055,-1.220390851,-0.612588999,-1.537910222,-0.308300455,-1.278569521
Overcast,1,-0.006972123,-1.379112916,1.879999006,1.091103796,1.496497055,-1.231695336,-0.612588999,-1.537910222,-0.308300455,-1.150441177
Overcast,1,-0.068234164,-1.116875582,1.673259175,1.172659073,1.325510366,-1.207955918,-0.612588999,-1.537910222,-0.308300455,-1.022312834
Overcast,1,-0.081056451,-0.854638248,1.357708906,1.091103796,0.347086536,-1.17630336,-0.612588999,-1.537910222,-0.308300455,-0.89418449
Overcast,1,-0.081056451,-0.854638248,1.86095718,1.091103796,0.347086536,-1.141259456,-0.612588999,-1.537910222,-0.308300455,-0.766056147
Overcast,1,-0.073220609,-0.854638248,1.292422643,1.154535678,0.347086536,-1.074562994,-0.612588999,-1.537910222,-0.308300455,-0.637927804
Overcast,1,0.061413411,-1.291700471,1.877278746,1.263276047,0.347086536,-1.040649538,-0.612588999,-1.537910222,-0.308300455,-0.50979946
Overcast,1,0.069961603,-1.116875582,1.393072298,1.344831324,0.347086536,-0.976213973,-0.612588999,-1.537910222,-0.308300455,-0.381671117
Overcast,1,0.084920938,-1.204288027,0.846299849,1.25421435,0.347086536,-0.909517511,-0.612588999,-1.537910222,-0.308300455,-0.253542773
Overcast,1,0.156155869,-1.379112916,0.228800616,1.281399442,0.359752217,-0.88803899,-0.612588999,-1.537910222,-0.308300455,-0.12541443
Overcast,1,0.16541641,-1.379112916,-0.766814888,1.535126971,0.359752217,-0.868821365,-0.612588999,-1.537910222,-0.308300455,0.002713913
Overcast,1,0.29933808,-1.81617514,-1.185735073,1.526065274,0.356585796,-0.885778093,-0.612588999,-1.537910222,-0.308300455,0.130842257
Overcast,1,0.295776334,-2.078412474,-1.533928474,0.57458704,0.347086536,-0.912908857,-0.612588999,-1.537910222,-0.308300455,0.2589706
Overcast,1,0.295776334,-1.81617514,-1.038840983,-0.023484992,0.587734468,-0.915169754,-0.612588999,-1.537910222,-0.308300455,0.387098943
Overcast,1,0.312872717,-1.81617514,-1.079644897,-0.086916875,0.552903846,-0.907256614,-0.612588999,-1.537910222,-0.308300455,0.515227287
Overcast,1,0.298625731,-1.379112916,0.179835919,-0.06879348,0.347086536,-0.901604372,-0.612588999,-1.537910222,-0.308300455,0.64335563
Overcast,1,0.159005266,-0.942050693,-0.347894704,-0.06879348,0.347086536,-0.868821365,-0.612588999,-1.537910222,-0.308300455,0.771483974
Overcast,1,0.170402855,-0.942050693,0.019340523,-0.268150824,0.347086536,-0.810038043,-0.612588999,-1.537910222,-0.308300455,0.899612317
Overcast,1,0.147607677,-0.330163579,0.100948351,-0.340644404,0.347086536,-0.763689654,-0.612588999,-1.537910222,-0.308300455,1.02774066
Overcast,1,0.072811,-0.242751135,0.723888107,-0.349706101,0.739722636,-0.730906647,-0.612588999,-1.537910222,-0.308300455,1.155869004
Foggy,1,-0.196457039,0.543960868,-0.783136454,-0.014423295,-1.375446032,-0.528556364,-0.612588999,-1.537910222,-0.19407057,-0.89418449
Overcast,1,-0.062535369,0.543960868,-0.24996531,0.393353091,-0.197537732,-0.482207975,-0.612588999,-1.537910222,-0.19407057,-0.766056147
Overcast,1,0.77376272,-1.728762695,0.283205835,-0.349706101,1.496497055,-0.048115748,-0.612588999,-1.537910222,-0.079840685,1.155869004
Overcast,1,0.767351577,-1.64135025,0.672203149,-0.277212521,1.325510366,-0.080898754,-0.612588999,-1.537910222,-0.079840685,1.283997347
Overcast,1,0.708226584,-1.466525361,0.800055413,-0.259089127,1.496497055,-0.144203871,-0.612588999,-1.537910222,-0.079840685,1.412125691
Overcast,1,0.636991653,-1.291700471,0.324009749,-0.195657244,1.496497055,-0.162291047,-0.612588999,-1.537910222,-0.079840685,1.540254034
Overcast,1,0.699678392,-2.340649808,0.805495935,-0.349706101,1.496497055,-0.371424021,-0.612588999,-1.537910222,0.0343892,-1.278569521
